State,Year,khouse,ccusemo,ccuseyear,ccuseever,ccnever,ccusena,plusemo,pluseyear,pluseever,plnever,plusena
AK,2011,276,1.3,6.7,5.7,83,3.3,0.4,1.3,3.3,91.9,3.1
AL,2011,1889,2.7,5.7,10.9,79.1,1.5,0.8,2.8,4.3,90.5,1.6
AR,2011,1142,4.7,6.1,10.9,76.4,1.9,0.3,0.3,3.7,93.9,1.7
AZ,2011,2622,3.9,5,4.4,85.2,1.5,0.1,1,4.7,92.9,1.3
CA,2011,13191,4.8,2.7,3.7,86.4,2.4,0.9,0.9,3.3,91.9,3
CO,2011,1974,2.2,3.1,5.3,87.6,1.8,0.8,1.6,3.5,92,2.2
CT,2011,1365,1.4,1.7,3.1,92.5,1.3,0.1,0.1,1,97.3,1.5
DC,2011,281,2,2.9,4.5,88.1,2.5,0.1,0.2,1.5,95.7,2.5
DE,2011,346,2.7,2.7,4.6,87.9,2.1,0.3,0.9,2,94.5,2.3
FL,2011,7801,4.1,3.6,5,84.7,2.6,1,1.4,2.8,90.9,3.9
GA,2011,3834,4,4.3,6,83.3,2.4,0.4,0.5,1.3,95.2,2.6
HI,2011,443,1.7,7.2,2.9,83.9,4.3,0.4,0.1,2.7,92.9,3.9
IA,2011,1244,2.8,3.7,4.9,86.7,1.9,0.7,1.2,2.6,93.1,2.5
ID,2011,589,4.1,3.5,6.1,85.5,0.8,1.6,2.6,5.3,89.2,1.3
IL,2011,4956,4.2,3.2,5.7,84.4,2.5,0.1,1,3.1,92.9,2.9
IN,2011,2560,4.4,3.4,5.5,85,1.8,0.8,1.5,3.5,92,2.3
KS,2011,1136,5.3,4,7.1,82.4,1.2,1.3,2,6,89.1,1.6
KY,2011,1819,3.9,3.7,5.8,85.3,1.2,1.6,1.2,2.8,93.2,1.3
LA,2011,1816,3,4.7,6.3,82.9,3.1,1,0.5,5.5,90.6,2.4
MA,2011,2614,2,2.4,3.9,89.5,2.2,0.1,0.3,0.6,96.9,2.1
MD,2011,2170,3.2,3.2,3.9,88.4,1.4,0.1,0.7,1.1,96.1,1.9
ME,2011,546,2.7,4.4,5.4,86.2,1.4,0.1,0.2,1.5,96.8,1.3
MI,2011,3969,3.3,4.6,6,84,2,0.7,0.7,2,93.7,2.9
MN,2011,2163,1.5,3.3,2.8,91.5,0.9,0.6,0.3,1.5,96.2,1.4
MO,2011,2490,4,3.8,7,84.2,1,1.2,1,5.2,90.9,1.8
MS,2011,1143,6.2,5.5,7.6,79.6,1.1,0.4,1,6.4,91.2,1.1
MT,2011,426,4.5,5.1,6.3,82.9,1.1,0.4,0.6,4.8,92.5,1.6
NC,2011,3878,3.2,6.7,4.1,84,2,0.2,0.3,2.3,95,2.2
ND,2011,283,2.4,5.3,7.9,83.3,1.1,0.9,1.7,1.9,94.1,1.4
NE,2011,734,2.5,4.2,6.5,85.1,1.7,0.8,0.8,2.8,94.4,1.2
NH,2011,526,1.8,2.1,3.6,91,1.4,-,0.1,1,96.8,2
NJ,2011,3202,4.8,2.2,7,84.8,1.1,-,0.2,0.6,98.3,1
NM,2011,816,5.5,3.7,4.6,83.8,2.4,1,1.4,2.7,92.2,2.7
NV,2011,1035,5.3,5.7,6.8,79.8,2.4,2.2,5.6,4.1,84.6,3.6
NY,2011,7677,3.6,3.7,6,84.2,2.6,-,0.1,0.4,96,3.5
OH,2011,4719,3.1,3.7,5.8,84.1,3.3,0.8,1.6,4.5,89.4,3.7
OK,2011,1503,4.5,3.3,6,84.1,2,1,1.8,3.7,90.5,2.9
OR,2011,1522,2.1,2,5.9,88.8,1.2,0.8,0.4,3.7,93.5,1.6
PA,2011,5161,2.4,3.6,6.5,85.5,2.1,0.3,0.4,1,95.8,2.5
RI,2011,423,2.3,2.4,3.8,89.8,1.7,0.1,0.9,0.7,95.1,3.2
SC,2011,1787,5,5.2,8.5,80.3,1,0.9,0.9,4.7,91.4,2.1
SD,2011,329,4.7,5.9,7.4,81.2,0.9,1.6,1.7,2.7,93,1
TN,2011,2605,5.1,5.2,6.4,82.3,0.9,1.3,2.1,3.4,92.1,1.1
TX,2011,9136,6.8,5.1,6.6,79.7,1.8,1,1.8,3.5,91.7,2
UT,2011,926,1.6,3.7,4.9,89.4,0.4,1.2,2,5.8,91,-
VA,2011,3008,2.1,3.4,3.9,85.7,4.8,0.6,0.9,3.3,90.1,5.1
VT,2011,269,2.9,3.9,4.9,86.8,1.4,-,0.3,1,97.5,1.2
WA,2011,2748,2.2,3.7,6.4,85.5,2.2,1.7,1.6,7.8,86.1,2.7
WI,2011,2316,3.1,2.2,5.9,87.4,1.4,0.6,1.1,3.2,93.5,1.7
WV,2011,762,2.2,5,7.1,81.8,3.8,0.2,0.4,1,95.5,2.9
WY,2011,236,4.5,4.4,9.6,79.5,2,1.6,1.2,5.2,89.3,2.7
AK,2013,277,2.9,2.8,5.7,81.8,6.8,0.9,0.7,1.9,90.6,5.8
AL,2013,2057,4,3.8,6.3,81.6,4.3,1.4,1.9,3.5,89.1,4.1
AR,2013,1242,5.5,6.9,6.5,78.5,2.7,0.2,1.9,3.6,90.7,3.5
AZ,2013,2542,3,1.1,3.6,89.1,3.2,0.4,2.1,3,90.6,3.9
CA,2013,13537,3.5,1.9,3.6,86.2,4.8,0.8,1.1,2.3,90.6,5.3
CO,2013,2121,2.4,3.2,3.4,87.6,3.5,0.6,1.3,5.2,88.9,4
CT,2013,1442,2.8,1.8,3.4,88.2,3.7,0.3,0.5,0.4,94.9,4
DC,2013,332,3.1,2.9,5.4,83.1,5.5,-,1,2.3,90.7,5.9
DE,2013,373,2.3,2.3,5.2,83.6,6.6,0.1,0.8,2,90.1,6.9
FL,2013,8107,3.4,2.6,5.7,80,8.4,1.1,1.3,2.1,86.1,9.3
GA,2013,3934,3.4,4.2,7,81.3,4.1,0.3,0.9,2.6,91.5,4.6
HI,2013,472,1.6,3.3,3.8,86,5.3,0.7,0.8,1.8,91.1,5.7
IA,2013,1264,2.4,3.1,3.2,86.7,4.6,0.7,1.3,2.4,90.3,5.4
ID,2013,622,3.8,3.6,9.7,80.7,2.2,2,1.6,6,88.6,1.8
IL,2013,5073,4.1,2.3,4.9,84.1,4.6,0.6,1.9,2.7,89.7,5.1
IN,2013,2647,2.5,3.4,4.6,86,3.4,0.8,1.3,3.1,91.2,3.6
KS,2013,1181,3.6,4.4,8,81.7,2.2,0.9,1.6,5.3,89.9,2.3
KY,2013,1844,4.3,5.2,6.4,81.9,2.2,1.1,1.4,3.9,91,2.6
LA,2013,1786,7.9,5.5,5.6,78,3,1.6,0.8,4.1,90.2,3.3
MA,2013,2661,2.8,1.7,3.2,88.6,3.7,-,0.4,-,95.8,3.8
MD,2013,2277,2.4,1.7,4,89,2.8,0.4,0.8,2.1,93.7,3
ME,2013,562,2.2,3.8,5.8,85.2,3,0.2,0.5,0.7,95.8,2.7
MI,2013,3911,2.4,2.3,4.8,84.7,5.8,0.9,0.9,1.6,90,6.6
MN,2013,2177,2.7,2.3,5.1,88.3,1.7,0.3,0.6,1.1,96.2,1.7
MO,2013,2485,3.7,2.7,6.6,83.6,3.4,1.4,1.2,5.7,87.4,4.3
MS,2013,1126,6,5.7,9.1,74.4,4.8,1.9,3.4,2.2,88.1,4.4
MT,2013,426,2.9,5.1,7.2,78,6.8,0.2,0.6,3.8,88.4,7
NC,2013,3843,2.6,4.2,5,82.4,5.7,0.9,0.7,1.7,91.2,5.5
ND,2013,297,2.2,3.1,7.2,84.8,2.7,0.3,1.9,3.8,90.6,3.4
NE,2013,781,3.9,4.4,6.2,82.3,3.2,1.9,1.1,5.2,87.9,3.9
NH,2013,544,1.9,2.2,5.6,86.6,3.7,-,0.3,1.6,94.1,4.1
NJ,2013,3283,2.9,4,7.1,82,4,0.1,0.7,1.3,93.1,4.8
NM,2013,857,5.2,3.2,5.6,81.2,4.7,0.9,1.8,1.6,90.5,5.2
NV,2013,1134,5.1,5.9,6.5,78,4.5,1.7,3,4.4,85.4,5.5
NY,2013,7736,3.3,3.4,5.6,81.9,5.7,0,0.2,0.9,92.7,6.1
OH,2013,4786,3.1,2.9,7.4,79.3,7.2,1.3,1.5,4,86,7.2
OK,2013,1569,3.8,4.7,8.4,80.1,3,3.1,1.7,4.3,86.7,4.1
OR,2013,1590,2.6,2,4.1,86,5.2,0.4,1,3.4,89.4,5.7
PA,2013,5267,2.2,2.6,4.6,86.6,4.1,0.2,0.2,1.6,93.5,4.5
RI,2013,434,2,1.8,3.8,86.3,6.1,0.6,0.7,2.1,90.3,6.4
SC,2013,1945,4.7,5.9,6.7,80.6,2.2,1.6,2.3,4.5,88.9,2.7
SD,2013,334,2,4.2,5.7,84.8,3.4,1.4,1.8,2.9,90.4,3.6
TN,2013,2627,2.9,2.2,5.4,86.3,3.2,1.8,2.3,2.6,89.7,3.6
TX,2013,9678,5.7,4.5,7.3,79.3,3.2,1,1.8,3.2,90.6,3.5
UT,2013,972,2.3,3.2,6,85.9,2.6,-,1.4,3.9,91.9,2.8
VA,2013,3206,1.7,1.8,2.9,86.4,7.2,0.7,1.3,2.1,88,8
VT,2013,269,3.6,2.6,5.3,86.1,2.4,0.2,-,0.2,96.4,3.3
WA,2013,2699,2.4,2.6,4.8,86.3,3.9,1.4,1.1,6,87.6,3.9
WI,2013,2380,2.2,2.1,4.6,87.5,3.5,0.8,0.1,2.7,92.9,3.6
WV,2013,791,3.5,4.5,3.9,84.4,3.6,-,0.5,0.6,94.2,4.7
WY,2013,249,3.5,4.1,4.9,82.3,5.1,1.3,1,5.7,86.9,5.1
